matrix,row_id,ICSE2026_count,ICSE2026_percent,FSE2026_count,FSE2026_percent,ISSTA2026_count,ISSTA2026_percent,ASE2025_count,ASE2025_percent,total,total_percent
primary_domain,BUILD_RELEASE_OPERATIONS_PERFORMANCE,24,7.48,14,6.64,7,3.33,17,6.91,62,6.28
primary_domain,CODE_INTELLIGENCE_GENERATION_TRANSFORMATION,31,9.66,28,13.27,25,11.90,29,11.79,113,11.44
primary_domain,CROSS_CUTTING_OR_UNCERTAIN,1,0.31,0,0.00,0,0.00,0,0.00,1,0.10
primary_domain,DEBUGGING_FAULT_LOCALIZATION_REPAIR,38,11.84,33,15.64,32,15.24,32,13.01,135,13.66
primary_domain,EMPIRICAL_BENCHMARKS_REPRODUCIBILITY,8,2.49,6,2.84,5,2.38,3,1.22,22,2.23
primary_domain,HUMAN_SOCIAL_EDUCATION,23,7.17,4,1.90,2,0.95,8,3.25,37,3.74
primary_domain,MAINTENANCE_EVOLUTION_QUALITY,27,8.41,12,5.69,11,5.24,14,5.69,64,6.48
primary_domain,ML_ENABLED_SYSTEMS_ENGINEERING,11,3.43,6,2.84,5,2.38,6,2.44,28,2.83
primary_domain,PROGRAM_ANALYSIS_FORMAL_METHODS,33,10.28,21,9.95,19,9.05,24,9.76,97,9.82
primary_domain,REQUIREMENTS_DESIGN_ARCHITECTURE,14,4.36,7,3.32,6,2.86,8,3.25,35,3.54
primary_domain,SECURITY_PRIVACY_SAFETY,50,15.58,31,14.69,37,17.62,42,17.07,160,16.19
primary_domain,TESTING_QUALITY_ASSURANCE,61,19.00,49,23.22,61,29.05,63,25.61,234,23.68
topic_cluster,AGENTIC_SOFTWARE_ENGINEERING,28,8.72,19,9.00,29,13.81,14,5.69,90,9.11
topic_cluster,EVOLUTION_MIGRATION_REFACTORING,4,1.25,5,2.37,1,0.48,2,0.81,12,1.21
topic_cluster,FORMAL_AND_SPEC_DRIVEN_ASSURANCE,19,5.92,15,7.11,13,6.19,10,4.07,57,5.77
topic_cluster,FUZZING_AND_INPUT_EXPLORATION,28,8.72,26,12.32,16,7.62,23,9.35,93,9.41
topic_cluster,GUI_WEB_MOBILE_AUTOMATION,1,0.31,10,4.74,4,1.90,7,2.85,22,2.23
topic_cluster,HUMAN_AI_DEVELOPER_WORK,5,1.56,1,0.47,1,0.48,3,1.22,10,1.01
topic_cluster,LLM_DEBUGGING_REPAIR,21,6.54,14,6.64,16,7.62,21,8.54,72,7.29
topic_cluster,LLM_ENABLED_TEST_ENGINEERING,20,6.23,23,10.90,28,13.33,18,7.32,89,9.01
topic_cluster,LLM_RELIABILITY_EVALUATION,17,5.30,7,3.32,15,7.14,19,7.72,58,5.87
topic_cluster,LLM_SECURITY_ASSURANCE,20,6.23,9,4.27,15,7.14,13,5.28,57,5.77
topic_cluster,ML_DL_SYSTEM_RELIABILITY,11,3.43,5,2.37,3,1.43,8,3.25,27,2.73
topic_cluster,REPOSITORY_LEVEL_LLM_AGENTS,5,1.56,0,0.00,1,0.48,0,0.00,6,0.61
topic_cluster,SUPPLY_CHAIN_AND_DEPENDENCY_ASSURANCE,21,6.54,7,3.32,12,5.71,14,5.69,54,5.47
method_mechanism,AI_CODING_ASSISTANT,12,3.74,8,3.79,1,0.48,3,1.22,24,2.43
method_mechanism,BENCHMARK_DATASET_CONSTRUCTION_OR_USE,98,30.53,74,35.07,76,36.19,85,34.55,333,33.70
method_mechanism,DYNAMIC_RUNTIME_ANALYSIS,21,6.54,13,6.16,15,7.14,14,5.69,63,6.38
method_mechanism,EMPIRICAL_MINING_STATISTICAL_ANALYSIS,66,20.56,31,14.69,40,19.05,34,13.82,171,17.31
method_mechanism,FORMAL_VERIFICATION_PROOF,16,4.98,13,6.16,10,4.76,11,4.47,50,5.06
method_mechanism,FUZZING_INPUT_EXPLORATION,28,8.72,26,12.32,16,7.62,23,9.35,93,9.41
method_mechanism,GRAPH_KNOWLEDGE_REPRESENTATION,6,1.87,10,4.74,7,3.33,8,3.25,31,3.14
method_mechanism,HUMAN_SUBJECTS_QUALITATIVE_METHOD,29,9.03,8,3.79,8,3.81,9,3.66,54,5.47
method_mechanism,LLM_AGENT_OR_MULTI_AGENT,28,8.72,19,9.00,29,13.81,14,5.69,90,9.11
method_mechanism,LLM_CODE_MODEL,123,38.32,88,41.71,92,43.81,96,39.02,399,40.38
method_mechanism,NOT_SPECIFIED_FROM_TITLE_AND_ABSTRACT,43,13.40,31,14.69,19,9.05,29,11.79,122,12.35
method_mechanism,PROGRAM_TRANSFORMATION_SYNTHESIS,22,6.85,24,11.37,23,10.95,22,8.94,91,9.21
method_mechanism,PROMPTING_RETRIEVAL_CONTEXT_ENGINEERING,42,13.08,30,14.22,33,15.71,33,13.41,138,13.97
method_mechanism,SEARCH_OPTIMIZATION_REINFORCEMENT_LEARNING,34,10.59,17,8.06,29,13.81,22,8.94,102,10.32
method_mechanism,STATIC_PROGRAM_ANALYSIS,39,12.15,25,11.85,23,10.95,37,15.04,124,12.55
method_mechanism,STATISTICAL_ML_DEEP_LEARNING,32,9.97,29,13.74,29,13.81,24,9.76,114,11.54
method_mechanism,SYMBOLIC_CONSTRAINT_SOLVING,12,3.74,8,3.79,9,4.29,8,3.25,37,3.74
method_mechanism,TESTING_TRANSFORMATION_ORACLE,11,3.43,6,2.84,10,4.76,10,4.07,37,3.74
